Years,Consumption
1930-12-31,295700
1931-12-31,294406
1932-12-31,298520
1933-12-31,283197
1934-12-31,288236
1935-12-31,313498
1936-12-31,343346
1937-12-31,371844
1938-12-31,367772
1939-12-31,391153
1940-12-31,443646
1941-12-31,442067
1942-12-31,498537
1943-12-31,529444
1944-12-31,562183
1945-12-31,607400
1946-12-31,660820
1947-12-31,802150
1948-12-31,896348
1949-12-31,992544
1950-12-31,1198369
1951-12-31,1474725
1952-12-31,1621966
1953-12-31,1685503
1954-12-31,1894248
1955-12-31,2123952
1956-12-31,2327564
1957-12-31,2500269
1958-12-31,2714251
1959-12-31,2912601
1960-12-31,3103167
1961-12-31,3248578
1962-12-31,3478563
1963-12-31,3589021
1964-12-31,3787292
1965-12-31,3902802
1966-12-31,4138259
1967-12-31,4313304
1968-12-31,4450354
1969-12-31,4728281
1970-12-31,4837432
1971-12-31,4971690
1972-12-31,5125982
