Years,Consumption
1972-12-31,5125982
1973-12-31,4879387
1974-12-31,4786128
1975-12-31,4924124
1976-12-31,5051360
1977-12-31,4821485
1978-12-31,4903006
1979-12-31,4965365
1980-12-31,4752082
1981-12-31,4546450
1982-12-31,4633035
1983-12-31,4380599
1984-12-31,4555465
1985-12-31,4433377
1986-12-31,4313969
1987-12-31,4314833
1988-12-31,4630330
1989-12-31,4780638
1990-12-31,4391324
1991-12-31,4555659
1992-12-31,4690065
1993-12-31,4956445
1994-12-31,4847702
1995-12-31,4850318
1996-12-31,5241414
1997-12-31,4983772
1998-12-31,4520276
1999-12-31,4725672
2000-12-31,4996179
2001-12-31,4771340
2002-12-31,4888818
2003-12-31,5079351
2004-12-31,4868797
2005-12-31,4826775
2006-12-31,4368466
2007-12-31,4722358
2008-12-31,4892277
2009-12-31,4778907
2010-12-31,4782412
2011-12-31,4713777
2012-12-31,4149519
2013-12-31,4897372
2014-12-31,5087471
2015-12-31,4612888
2016-12-31,4346588
2017-12-31,4413324
2018-12-31,4997554
2019-12-31,5018519
2020-12-31,4674456
2021-12-31,4716658
2022-12-31,4964165
